State,District,Year,composite_yield_kg_ha,rolling_mean_yield,yield_ratio,flooded_area_pct,damage_label,damage_label_name
Andhra Pradesh,Ananthapur,2016,1169.3139999999999,1671.7968,0.6994354816326959,0,1,Drought
Andhra Pradesh,Ananthapur,2017,1869.946,1523.446,1.227444884820335,0,0,Healthy
Andhra Pradesh,Chittoor,2016,2182.95,2299.8792000000003,0.9491585471097784,0,0,Healthy
Andhra Pradesh,Chittoor,2017,2634.1699999999996,2255.9144,1.1676728514167025,0,0,Healthy
Andhra Pradesh,East Godavari,2016,3050.302,2830.0828,1.0778136950622081,0,0,Healthy
Andhra Pradesh,East Godavari,2017,3182.336,2920.7536,1.0895598998833724,0,0,Healthy
Andhra Pradesh,Guntur,2016,3198.498,3114.1104000000005,1.0270984612491578,0,0,Healthy
Andhra Pradesh,Guntur,2017,3446.654,3090.6396,1.1151911727268362,0,0,Healthy
Andhra Pradesh,Kadapa Ysr,2016,2514.984,2511.3352,1.0014529322887682,0,0,Healthy
Andhra Pradesh,Kadapa Ysr,2017,3583.3720000000003,2482.028,1.4437274680221177,0,0,Healthy
Andhra Pradesh,Krishna,2016,2406.632,2036.7084,1.181628160418055,0,0,Healthy
Andhra Pradesh,Krishna,2017,2314.5299999999997,2102.1264,1.1010422589241065,0,0,Healthy
Andhra Pradesh,Kurnool,2016,3191.7059999999997,2766.6856,1.1536207800409268,0,0,Healthy
Andhra Pradesh,Kurnool,2017,2812.9639999999995,2839.4492,0.9906724163263775,0,0,Healthy
Andhra Pradesh,S.P.S. Nellore,2016,2930.442,2958.5264,0.9905073012023823,0,0,Healthy
Andhra Pradesh,S.P.S. Nellore,2017,2826.082,2907.8076,0.9718944265776043,0,0,Healthy
Andhra Pradesh,Srikakulam,2016,2434.6459999999997,2177.4568,1.1181144902622178,0,0,Healthy
Andhra Pradesh,Srikakulam,2017,2528.832,2244.2208,1.1268196070547067,0,0,Healthy
Andhra Pradesh,Visakhapatnam,2016,1968.0099999999998,1803.5768000000003,1.091170611642376,0,0,Healthy
Andhra Pradesh,Visakhapatnam,2017,2257.1699999999996,1819.0,1.2408851017042328,0,0,Healthy
Andhra Pradesh,West Godavari,2016,2844.9120000000003,2412.9252000000006,1.1790303321462263,0,0,Healthy
Andhra Pradesh,West Godavari,2017,2639.8360000000002,2489.5172000000002,1.0603807035356092,0,0,Healthy
Assam,Cachar,2016,921.184,936.9676,0.9831545936060115,0,0,Healthy
Assam,Cachar,2017,984.9960000000001,960.1244,1.0259045598674505,0,0,Healthy
Assam,Darrang,2016,1715.3,1246.8272000000002,1.3757319378338873,0,0,Healthy
Assam,Darrang,2017,1821.6760000000002,1447.824,1.2582164683000143,0,0,Healthy
Assam,Dibrugarh,2016,754.6379999999999,942.1652,0.8009614449780144,0,3,Partial
Assam,Dibrugarh,2017,793.122,955.5523999999999,0.8300141363257525,0,3,Partial
Assam,Goalpara,2016,1262.702,1094.0408000000002,1.1541635375938446,0,0,Healthy
Assam,Goalpara,2017,1377.792,1191.5964,1.1562572696594249,0,0,Healthy
Assam,Kamrup,2016,1406.2939999999999,1142.9771999999998,1.2303779987912271,0,0,Healthy
Assam,Kamrup,2017,1536.1119999999999,1274.3024,1.2054532738853823,0,0,Healthy
Assam,Karbi Anglong,2016,1123.212,993.5619999999999,1.130490095233111,0,0,Healthy
Assam,Karbi Anglong,2017,1103.8319999999999,1066.1668,1.0353276804342435,0,0,Healthy
Assam,Lakhimpur,2016,1034.21,1036.2696,0.9980124863259522,0,0,Healthy
Assam,Lakhimpur,2017,1409.09,1122.7415999999998,1.255043903245413,0,0,Healthy
Assam,Nagaon,2016,1194.962,1098.8064,1.0875091371874064,0,0,Healthy
Assam,Nagaon,2017,1267.15,1187.9208,1.0666956921707238,0,0,Healthy
Assam,North Cachar Hil / Dima Hasao,2016,729.7120000000001,929.4272000000001,0.7851201255999395,0,1,Drought
Assam,North Cachar Hil / Dima Hasao,2017,600.888,908.5412,0.6613767212758211,0,1,Drought
Assam,Sibsagar,2016,971.4,977.9123999999999,0.9933405078000852,0,0,Healthy
Assam,Sibsagar,2017,1076.5,1014.5031999999999,1.0611105021650007,0,0,Healthy
Bihar,Bhagalpur,2016,2138.308,2479.8048000000003,0.8622888382182339,0,3,Partial
Bihar,Bhagalpur,2017,2654.062,2390.6236,1.1101965194353474,0,0,Healthy
Bihar,Champaran,2016,1650.9299999999998,1743.0488,0.9471507625030348,0,0,Healthy
Bihar,Champaran,2017,1496.038,1633.01,0.9161229876118334,0,0,Healthy
Bihar,Darbhanga,2016,1953.682,1428.6616,1.3674910839627803,0,0,Healthy
Bihar,Darbhanga,2017,2155.554,1513.7656,1.4239681493620941,0,0,Healthy
Bihar,Gaya,2016,1841.6380000000001,1993.9515999999999,0.9236121879788859,0,0,Healthy
Bihar,Gaya,2017,1942.054,2025.8676000000003,0.9586282933790934,0,0,Healthy
Bihar,Mungair,2016,2597.156,1751.3919999999998,1.4829095941970731,0,0,Healthy
Bihar,Mungair,2017,2081.938,1884.5252,1.104754661810837,0,0,Healthy
Bihar,Muzaffarpur,2016,1539.69,1582.7232000000001,0.972810659501295,0,0,Healthy
Bihar,Muzaffarpur,2017,1422.716,1528.1096,0.9310300779472885,0,0,Healthy
Bihar,Patna,2016,2174.2760000000003,1902.4296000000002,1.1428943283893396,0,0,Healthy
Bihar,Patna,2017,2612.9799999999996,1982.2868000000003,1.3181644553149419,0,0,Healthy
Bihar,Purnea,2016,2664.256,1876.4568,1.4198333795907265,0,0,Healthy
Bihar,Purnea,2017,2236.248,2091.3399999999997,1.0692895464152172,0,0,Healthy
Bihar,Saharsa,2016,2140.29,1845.1259999999997,1.1599695630542306,0,0,Healthy
Bihar,Saharsa,2017,1923.8579999999997,1843.9156000000003,1.043354695843996,0,0,Healthy
Bihar,Saran,2016,2083.236,1722.944,1.2091141673786263,0,0,Healthy
Bihar,Saran,2017,1740.3080000000002,1782.0660000000003,0.9765676467650468,0,0,Healthy
Bihar,Shahabad (Now Part Of Bhojpur District),2016,2067.7520000000004,2133.4936000000002,0.9691859399062647,0,0,Healthy
Bihar,Shahabad (Now Part Of Bhojpur District),2017,2328.562,2110.3648000000003,1.1033931195213262,0,0,Healthy
Chhattisgarh,Bastar,2016,1443.664,1235.6984,1.1682980248254753,0,0,Healthy
Chhattisgarh,Bastar,2017,1172.7440000000001,1281.6280000000002,0.9150424304088238,0,0,Healthy
Chhattisgarh,Bilaspur,2016,1336.352,1223.6219999999998,1.0921281245351917,0,0,Healthy
Chhattisgarh,Bilaspur,2017,1134.592,1232.176,0.9208035215748401,0,0,Healthy
Chhattisgarh,Durg,2016,1275.598,967.5448,1.3183864974521076,0,0,Healthy
Chhattisgarh,Durg,2017,922.4100000000001,1025.3816,0.8995772890794999,0,3,Partial
Chhattisgarh,Raigarh,2016,1290.708,1181.2344,1.0926772874206847,0,0,Healthy
Chhattisgarh,Raigarh,2017,1238.206,1197.944,1.0336092505158838,0,0,Healthy
Chhattisgarh,Raipur,2016,1590.6439999999998,1244.9732,1.2776532057075605,0,0,Healthy
Chhattisgarh,Raipur,2017,1087.968,1294.604,0.8403867128480987,0,3,Partial
Chhattisgarh,Surguja,2016,1145.236,1018.7895999999998,1.1241143411750574,0,0,Healthy
Chhattisgarh,Surguja,2017,1107.588,1058.7240000000002,1.0461536717784803,0,0,Healthy
Gujarat,Ahmedabad,2016,1938.9,1927.1943999999999,1.0060739072301166,0,0,Healthy
Gujarat,Ahmedabad,2017,2204.6459999999997,1938.8039999999996,1.1371164903724151,0,0,Healthy
Gujarat,Amreli,2016,1523.7720000000002,1142.4396,1.333787799372501,0,0,Healthy
Gujarat,Amreli,2017,1187.446,1240.1255999999998,0.9575207543493982,0,0,Healthy
Gujarat,Banaskantha,2016,1514.128,1628.7748000000001,0.9296116320070766,0,0,Healthy
Gujarat,Banaskantha,2017,1692.3080000000002,1626.6732,1.0403491002372205,0,0,Healthy
Gujarat,Bharuch,2016,1312.062,1627.1196000000002,0.8063709637570586,0,3,Partial
Gujarat,Bharuch,2017,1674.05,1534.7396,1.0907713595192303,0,0,Healthy
Gujarat,Bhavnagar,2016,1725.968,1538.334,1.121972211496333,0,0,Healthy
Gujarat,Bhavnagar,2017,1549.9160000000002,1621.3008,0.9559706625692161,0,0,Healthy
Gujarat,Dangs,2016,1801.52,1351.9523999999997,1.3325321216930421,0,0,Healthy
Gujarat,Dangs,2017,918.076,1408.31,0.6518990847185634,0,1,Drought
Gujarat,Jamnagar,2016,1623.2500000000002,1269.1904,1.2789649212600414,0,0,Healthy
Gujarat,Jamnagar,2017,1856.6240000000003,1372.2184000000002,1.3530091128350996,0,0,Healthy
Gujarat,Junagadh,2016,1474.4599999999998,1596.854,0.9233530429206426,0,0,Healthy
Gujarat,Junagadh,2017,1661.5579999999998,1547.5988,1.0736361387718831,0,0,Healthy
Gujarat,Kheda,2016,2176.7439999999997,1898.7239999999997,1.1464246515027987,0,0,Healthy
Gujarat,Kheda,2017,2136.926,1979.8363999999997,1.0793447377773235,0,0,Healthy
Gujarat,Kutch,2016,1534.486,1240.716,1.2367745721019154,0,0,Healthy
Gujarat,Kutch,2017,1519.6,1388.1016,1.0947325469547762,0,0,Healthy
Gujarat,Mehsana,2016,2109.526,1948.2760000000003,1.0827654808661604,0,0,Healthy
Gujarat,Mehsana,2017,2054.17,2004.5004000000001,1.0247790421992433,0,0,Healthy
Gujarat,Panchmahal,2016,1612.58,1598.7792000000002,1.008632086281833,0,0,Healthy
Gujarat,Panchmahal,2017,1555.2440000000001,1596.9208000000003,0.9739017739639936,0,0,Healthy
Gujarat,Rajkot,2016,1733.4,1495.9919999999997,1.1586960358076783,0,0,Healthy
Gujarat,Rajkot,2017,1528.056,1582.5931999999998,0.9655393439072025,0,0,Healthy
Gujarat,Sabarkantha,2016,1930.464,1728.1816,1.1170492730625068,0,0,Healthy
