district,flood_count,flood_risk_freq,flood_risk_area,flood_risk
lakhimpur,218.0,0.9437229437229436,0.6116645803996158,0.7777
karimganj,107.0,0.4632034632034632,0.9536360244857692,0.7084
nagaon,178.0,0.7705627705627706,0.5680945775062407,0.6693
dhemaji,202.0,0.8744588744588745,0.3973235301081141,0.6359
sivasagar,129.0,0.5584415584415584,0.7001258665678676,0.6293
darrang,157.0,0.6796536796536796,0.4995948127090999,0.5896
dibrugarh,155.0,0.670995670995671,0.5043565180255691,0.5877
barpeta,165.0,0.7142857142857143,0.4439888430495455,0.5791
kamrup,181.0,0.7835497835497836,0.3624938922375352,0.573
goalpara,141.0,0.6103896103896104,0.5337007172323538,0.572
patna,71.0,0.3073593073593073,0.7967435775734439,0.5521
hailakandi,85.0,0.3679653679653679,0.7340556021515969,0.551
begusarai,50.0,0.2164502164502164,0.8805258989196723,0.5485
golaghat,132.0,0.5714285714285714,0.4906862231872261,0.5311
arwal,33.0,0.1428571428571428,0.9176350862439784,0.5302
cachar,154.0,0.6666666666666666,0.3908910499061182,0.5288
thoubal,9.0,0.0389610389610389,0.9992597610990004,0.5191
alappuzha,113.0,0.4891774891774891,0.52520770132549,0.5072
thiruvananthapuram,231.0,1.0,0.0099784283187787,0.505
unokoti,0.0,0.0,1.0,0.5
howrah,30.0,0.1298701298701298,0.8282609207363525,0.4791
south salmara mancachar,51.0,0.2207792207792207,0.7286044937508122,0.4747
dhubri,123.0,0.5324675324675324,0.390799937487067,0.4616
nalanda,44.0,0.1904761904761904,0.7301999211032223,0.4603
sonitpur,161.0,0.696969696969697,0.2199824812182762,0.4585
kendrapara,31.0,0.1341991341991342,0.774714026866961,0.4545
vaishali,45.0,0.1948051948051948,0.7140913629667629,0.4544
jorhat,136.0,0.5887445887445888,0.2817127266009523,0.4352
nalbari,136.0,0.5887445887445888,0.2789170191090037,0.4338
samastipur,57.0,0.2467532467532467,0.6085423924015123,0.4276
ballia,65.0,0.2813852813852814,0.5630392039502946,0.4222
charaideo,38.0,0.1645021645021645,0.6791609855205226,0.4218
purba medinipur,37.0,0.1601731601731601,0.6551900458614428,0.4077
bhagalpur,54.0,0.2337662337662337,0.5812336443256032,0.4075
munger,51.0,0.2207792207792207,0.5815918394742273,0.4012
nagpur,177.0,0.7662337662337663,0.0168598123110778,0.3915
muzaffarpur,63.0,0.2727272727272727,0.4977946302661594,0.3853
katihar,65.0,0.2813852813852814,0.4831143848416365,0.3822
baksa,139.0,0.6017316017316018,0.1579915364545919,0.3799
saran,52.0,0.2251082251082251,0.5242932861250275,0.3747
mumbai,173.0,0.7489177489177489,4.233367408748389e-05,0.3745
cuttack,58.0,0.2510822510822511,0.4872384165516528,0.3692
bongaigaon,89.0,0.3852813852813853,0.3508584492987089,0.3681
khagaria,53.0,0.2294372294372294,0.4913768890812513,0.3604
darbhanga,67.0,0.29004329004329,0.4257251094310232,0.3579
warangal,164.0,0.70995670995671,0.0,0.355
siddharthnagar,32.0,0.1385281385281385,0.5665464926062087,0.3525
gorakhpur,64.0,0.277056277056277,0.4272195750836505,0.3521
majuli,75.0,0.3246753246753247,0.3488903403425287,0.3368
lakhisarai,36.0,0.1558441558441558,0.5117926908994803,0.3338
wayanad,149.0,0.645021645021645,0.0194810936933019,0.3323
hamirpur,117.0,0.5064935064935064,0.1411753185529674,0.3238
murshidabad,45.0,0.1948051948051948,0.4404608422823838,0.3176
kasganj,27.0,0.1168831168831168,0.4863132757237003,0.3016
pune,139.0,0.6017316017316018,0.0005106678851666,0.3011
baleshwar,53.0,0.2294372294372294,0.3710651000262109,0.3003
jajapur,25.0,0.1082251082251082,0.4888313741649259,0.2985
saharsa,55.0,0.238095238095238,0.347020662344353,0.2926
marigaon,135.0,0.5844155844155844,0.0,0.2922
prayagraj,56.0,0.2424242424242424,0.339829614593478,0.2911
nadia,37.0,0.1601731601731601,0.4202344404151529,0.2902
thrissur,91.0,0.3939393939393939,0.1852038896891107,0.2896
jehanabad,33.0,0.1428571428571428,0.4351560881505812,0.289
kishanganj,44.0,0.1904761904761904,0.3873108055201643,0.2889
morigaon,0.0,0.0,0.571047799194521,0.2855
deoria,56.0,0.2424242424242424,0.3257490899037738,0.2841
bhadohi,23.0,0.0995670995670995,0.4660941949354356,0.2828
etawah,47.0,0.2034632034632034,0.3598921215404925,0.2817
sheohar,42.0,0.1818181818181818,0.3810999924914257,0.2815
