district,flood_risk_area
unokoti,1.0
thoubal,0.9992597610990005
karimganj,0.9536360244857692
arwal,0.9176350862439785
begusarai,0.8805258989196723
howrah,0.8282609207363525
patna,0.7967435775734439
kendrapara,0.774714026866961
hailakandi,0.7340556021515969
nalanda,0.7301999211032223
south salmara mancachar,0.7286044937508122
vaishali,0.7140913629667629
sivasagar,0.7001258665678676
charaideo,0.6791609855205226
purba medinipur,0.6551900458614428
lakhimpur,0.6116645803996158
samastipur,0.6085423924015123
munger,0.5815918394742273
bhagalpur,0.5812336443256032
morigaon,0.571047799194521
nagaon,0.5680945775062407
siddharthnagar,0.5665464926062087
ballia,0.5630392039502946
kamrup metropolitan,0.5580227814910232
goalpara,0.5337007172323538
alappuzha,0.52520770132549
saran,0.5242932861250275
lakhisarai,0.5117926908994803
dibrugarh,0.5043565180255691
darrang,0.4995948127090999
imphal east,0.49922845819261036
muzaffarpur,0.4977946302661594
khagaria,0.4913768890812513
golaghat,0.4906862231872261
jajapur,0.4888313741649259
cuttack,0.48723841655165284
kasganj,0.48631327572370037
katihar,0.48311438484163655
north twenty four pargan,0.47521908390613044
bhadohi,0.46609419493543564
shahid bhagat singh nagar,0.46168160125839214
barpeta,0.4439888430495455
murshidabad,0.4404608422823838
jehanabad,0.4351560881505812
gorakhpur,0.42721957508365055
darbhanga,0.42572510943102326
nadia,0.42023444041515295
sirsa,0.4146579182037866
fatehabad,0.40403137940818973
south twenty four pargan,0.403267158891434
hooghly,0.39775251579517873
purba champaran,0.3974036558286905
dhemaji,0.39732353010811416
maldah,0.3961165088168711
guntur,0.3912796340645178
cachar,0.3908910499061182
dhubri,0.390799937487067
kishanganj,0.38731080552016434
sheohar,0.38109999249142573
baleshwar,0.37106510002621096
kamrup,0.36249389223753525
purba bardhaman,0.3617207679174885
etawah,0.35989212154049255
nagapattinam,0.35855648712318033
bhadrak,0.3557782457330894
ghazipur,0.35475153008859167
bongaigaon,0.3508584492987089
majuli,0.34889034034252875
saharsa,0.347020662344353
firozpur,0.3423139961001244
rupnagar,0.34119098365873135
prayagraj,0.33982961459347805
gurdaspur,0.3382633619130454
chandauli,0.3340472253163
medinipur west,0.33073286642487376
deoria,0.3257490899037738
shrawasti,0.3256592838979857
cooch behar,0.31756315871113033
supaul,0.3110768356982675
central,0.3069411478270628
kheri,0.2938011602530511
faridabad,0.2925734721474557
uttar dinajpur,0.2822183477769702
auraiya,0.28205405864676336
jorhat,0.28171272660095237
siwan,0.2797298069146555
ganganagar,0.27919027330773794
nalbari,0.27891701910900374
araria,0.270913244301117
pashchim champaran,0.2692795552538466
purnia,0.26758248602855256
banda,0.2672805735424482
thanjavur,0.26510499866704995
farrukhabad,0.2631067897968872
azamgarh,0.2545077793241616
sant kabir nagar,0.25383012638150887
cuddalore,0.24857402632237388
sahibganj,0.24313083873991675
yamunanagar,0.24264010076904827
fatehpur,0.24116266078005485
tarn taran,0.23731472998814668
kurukshetra,0.2328861165772152
gopalganj,0.23146269948599796
jalandhar,0.22958216428766798
anand,0.22875858345951935
bhojpur,0.2280437373630684
surat,0.2258398780055208
west,0.22491415174694565
buxar,0.22393182511257992
jiribam,0.221514834760543
kaushambi,0.2210830678017684
jayashankar,0.22096194271817518
sonitpur,0.21998248121827624
rae bareli,0.2195518705580068
hojai,0.21821487909650922
wanaparthy,0.20854869362299558
patiala,0.20752172528955518
tinsukia,0.20665046575366386
kanpur nagar,0.20632268035825355
porbandar,0.2059915428655843
mathura,0.20351662316071314
jalaun,0.2033766116000903
ludhiana,0.20232609582375252
shahjahanpur,0.2013755217627141
fazilka,0.20074769121396147
gautam buddha nagar,0.1976317394553464
basti,0.19626000921211004
sitamarhi,0.19556759523892492
bulandshahr,0.19487285054997144
jalpaiguri,0.1933702203647859
mau,0.192452277001842
rampur,0.19117508163327107
birbhum,0.18979299237106256
nayagarh,0.18829140024678517
faridkot,0.1880226617675187
thrissur,0.18520388968911072
sultanpur,0.18403665435442437
hardoi,0.1840043471692967
baghpat,0.18212276049032416
ambala,0.1799611391753812
jaunpur,0.1796358169150746
hisar,0.1795089145723104
firozabad,0.17849164544717724
kushinagar,0.17815868096561638
bareilly,0.17653520776526185
ahmadabad,0.1735605529407598
bathinda,0.17207647124156394
alipurduar,0.1709988121261721
agra,0.1706645922009388
lakshadweep,0.16933418834737052
madhepura,0.16542968016678783
rohtas,0.16395069589233024
budaun,0.1632609656543627
dakshin dinajpur,0.16291583561204126
moradabad,0.1625052773370217
pakur,0.16197018456152712
faizabad,0.16118454377794803
badgam,0.16112785378203826
namsai,0.16016017489363293
amroha,0.15866422142849332
madhubani,0.15861825917675082
baksa,0.15799153645459194
varanasi,0.1573116483429866
hanumangarh,0.15692522264515227
east godavari,0.1567482773507077
bahraich,0.15578265862437135
kannauj,0.15278149957037568
chennai,0.15124871253258673
west godavari,0.14982902062417897
kakching,0.14903053025438548
unnao,0.14869200255206771
sheikhpura,0.14840358032807938
bijnor,0.1476428927151622
gaya,0.14692025927805755
ambedkar nagar,0.14658828662917137
srikakulam,0.14591121145476932
sitapur,0.1428874988648947
kapurthala,0.1427997188580031
karnal,0.14176526912845377
south west garo hills,0.14140795443294207
south west,0.14137926782442897
hamirpur,0.1411753185529674
imphal west,0.14071591964133823
baloda bazar,0.13971778959751013
meerut,0.1387046001139762
mahrajganj,0.13773728982376537
biswanath,0.13359084631058588
udalguri,0.13274495549145474
west karbi anglong,0.1324752709844115
kaithal,0.13192363971974297
narmada,0.13186885727346495
kachchh,0.13075475435039183
kanpur dehat,0.13069577029956542
vadodara,0.12884860460439376
mainpuri,0.12882228346749125
pulwama,0.1266485299506228
yanam,0.12637532100645044
parbhani,0.12618618115276556
dadra  nagar haveli,0.12569540084834996
saiha,0.12495539804154267
amethi,0.12150719177728489
gonda,0.12144747518675969
bara banki,0.12130749008460377
chirang,0.12081553252657724
kheda,0.12046563441451387
longleng,0.12012317316366788
lawngtlai,0.11820959392248963
dhaulpur,0.11771124272884657
tiruchirappalli,0.11725191828192676
mansa,0.11680491056886412
chengalpattu,0.11652348548753956
mon,0.11606322855957805
moga,0.11563232194548088
bhind,0.11385192480544168
mirzapur,0.11367429328419884
saharanpur,0.11367105332850609
noney,0.113335133923025
lunglei,0.11264877335073847
morena,0.11252312712898345
kaimur bhabua,0.11037552270548219
peddapalli,0.1099520537569398
patan,0.10991465215275567
ganjam,0.10987088531876511
viluppuram,0.10918226946909108
east siang,0.10837756381491497
amritsar,0.10829806348782968
gomati,0.1065826511365829
changlang,0.10656317512257657
kokrajhar,0.1065603296308756
balrampur,0.10620560907162904
ghaziabad,0.10473835853458492
chitrakoot,0.10425423547678356
sangrur,0.10367144142976573
pilibhit,0.10297509509339173
baran,0.10266347654094553
uttara kannada,0.1024322729318694
sri muktsar sahib,0.10110906078594735
upper siang,0.10102822538578758
bametara,0.10092404637875965
kota,0.10073888469316164
pherzawl,0.10019484053146913
ariyalur,0.10005606324774513
kannur,0.09980164404844724
bharatpur,0.09900189311262217
kasaragod,0.097527017901579
subarnapur,0.09653057349492881
navsari,0.0958236361094111
mulugu,0.09536489116641736
bhiwani,0.09259333466674693
thiruvarur,0.09230266385407151
lower siang,0.09194798539553754
datia,0.09166193876087753
the dangs,0.09164084492803573
khordha,0.09112450883491538
lohit,0.09091347157299794
niwari,0.09053122076724374
aizawl,0.0874521651502606
siang,0.08550954306377051
sambhal,0.0850111787043943
bundi,0.08430379846764048
lucknow,0.08421251307371588
ramanathapuram,0.08375555092339061
narsimhapur,0.083681120969907
phek,0.08325015195616142
bijapur,0.08247663715147634
chamarajanagara,0.08202883576907291
bandipore,0.08197687455737339
sivaganga,0.0818392759242674
janjgir  champa,0.08165704460913228
aligarh,0.0815697598200745
darjiling,0.08121103626411573
west kameng,0.07992912802874828
palakkad,0.07981979571669992
hardwar,0.07939342128982031
pratapgarh,0.0793793975826775
virudhunagar,0.07868241366075082
shamli,0.07864380030111488
kolkata,0.07834314761903831
karbi anglong,0.07803158989989926
kra daadi,0.07780269507781416
kamle,0.07772235121246963
mungeli,0.0776922796619636
panipat,0.07727224036573845
jhansi,0.0772120267370369
bhandara,0.07710403953111368
bharuch,0.07706626357137267
sundargarh,0.07695321030986955
south goa,0.07588578511781821
palwal,0.07573432995274686
sidhi,0.0754402289374181
jhargram,0.07513211433266427
south west khasi hills,0.07487811482815218
nawada,0.07455966804389506
kancheepuram,0.074431778652147
valsad,0.07361467549170585
paschim bardhaman,0.07339286192904261
north,0.0730434686021947
karur,0.07291015928874665
pakke kessang,0.0728963569860551
dimapur,0.07266540733592797
ribhoi,0.07260792599902251
kallakurichi,0.07239054120272131
baudh,0.07236138676617936
tamenglong,0.07179070142596831
banka,0.0713727303351861
malappuram,0.07105699543795535
dakshin bastar dantewada,0.07083246219889307
barnala,0.07057752873166516
gadchiroli,0.07039884983613384
dima hasao,0.07014125629814119
purbi singhbhum,0.06972306706259082
west jaintia hills,0.0695288661910182
bastar,0.06911814654051711
east jaintia hills,0.06889558528274523
jammu,0.06728598148375439
kolasib,0.06705927141136735
north goa,0.06696658261802328
wokha,0.06574407389491332
daman,0.06538579086184555
north tripura,0.0653151175449969
hapur,0.0646474518904394
kottayam,0.0643781273878806
south district,0.06401422923312725
north garo hills,0.06374363806850605
ganderbal,0.06331114466606343
sawai madhopur,0.0630021355957932
muzaffarnagar,0.06270060394227846
dehradun,0.06268539967950804
bilaspur,0.06221292304617927
sukma,0.06209188237567892
north east,0.06200911199374891
rayagada,0.061358240819324616
south andaman,0.061106460439350835
jhajjar,0.06051409393066572
mandya,0.059949618117474936
jogulamba gadwal,0.059466012121617694
rudraprayag,0.05939627805917825
bankura,0.05934184935201967
lower dibang valley,0.05917806602303343
mamit,0.05849891163646622
hoshangabad,0.058241508387767725
ranipet,0.05770283173884388
anjaw,0.057054992239060666
jalor,0.05691371304270385
mancherial,0.05658568482206747
suryapet,0.05656738966002358
hathras,0.056286594755880964
serchhip,0.056239079751964884
east kameng,0.056173455726611456
north   middle andaman,0.05566087161343587
raisen,0.055231137384591726
jagitial,0.055146830591237296
nuapada,0.05480548127333909
nagarkurnool,0.0543968893069146
aurangabad,0.05424806686513658
gandhinagar,0.054182379000794145
udham singh nagar,0.05404036747640628
south garo hills,0.05387700358820457
pathankot,0.053609914466266145
west nimar,0.05339489408323684
ernakulam,0.05335457734866677
thane,0.053070510696337544
dindori,0.05263030793163493
reasi,0.052453866067732315
sheopur,0.052144400260822565
chandrapur,0.05185369054361738
surajpur,0.05164944756200608
champawat,0.051493963470924935
mokokchung,0.05084149767644897
damoh,0.05053103140082092
junagadh,0.05048095191528941
west khasi hills,0.05045936675930012
etah,0.050160591908705233
gurugram,0.049314078236095814
upper subansiri,0.04894765958428243
nanded,0.04869932735638597
nirmal,0.048688580985457974
east khasi hills,0.04867376242363505
surendranagar,0.04824396621847797
kumuram bheem asifabad,0.0480452930616569
jind,0.04800223980193603
harda,0.04775606671194163
kendujhar,0.047463915537458136
mayurbhanj,0.046737874461480707
balangir,0.046369075732983024
shupiyan,0.04574573122788165
west garo hills,0.0457059234695482
kondagaon,0.04565599304043598
yadgir,0.04560294165523188
balaghat,0.04540510107228136
kiphire,0.04515128919004997
palamu,0.0450042401852265
haveri,0.044094088269290406
dakshina kannada,0.043454914954598425
chhatarpur,0.043453307761483276
jalgaon,0.043128737344972946
hoshiarpur,0.042996678945507766
madurai,0.04288053300672223
rohtak,0.04232682955725734
pathanamthitta,0.04198326475550589
adilabad,0.04185579637088361
chamoli,0.04184782818131673
sirmaur,0.041396473955974046
kalimpong,0.040572413234735635
tiruvannamalai,0.04050935127798546
ramanagara,0.040465226979523296
kamareddy,0.040272127965514236
jhalawar,0.03979919044685834
puducherry,0.039785537200586085
churachandpur,0.03976354805555695
south tripura,0.039429279531411586
simdega,0.039315155146500094
solapur,0.03907604214915401
champhai,0.03891237993644597
baramula,0.03857189532358057
medak,0.038453507865810324
sonipat,0.03831724798879742
palghar,0.038226012590791926
khowai,0.037643760921179374
tirupathur,0.03734384323414732
dhenkanal,0.03732927359358128
prakasam,0.037196765273177654
botad,0.037131088034555546
tawang,0.03709965715385254
barmer,0.03699934273400462
lepa rada,0.036856777698488594
pashchimi singhbhum,0.036753364716995196
sehore,0.03662397383899905
krishnagiri,0.03658817989359909
raichur,0.03640756965698257
charki dadri,0.036092153954696865
east district,0.035186216385706806
nandurbar,0.035137400133220364
lower subansiri,0.03511045245982095
rewari,0.03505453657515322
papum pare,0.034940456471131975
diu,0.03470658618725777
rewa,0.03466087929147131
deoghar,0.03436489523763458
singrauli,0.034148869390528414
kozhikode,0.03391692773839238
kolhapur,0.0335512874735093
lohardaga,0.033508220836387555
vizianagaram,0.03344358627303019
sindhudurg,0.03285411321995492
churu,0.03284630530519732
gadag,0.03275022953175147
narayanpet,0.03255412221121932
bidar,0.03249008391587268
bhilwara,0.03174720331686796
nainital,0.031721545461981186
bhadradri kothagudem,0.03142648779315535
panna,0.03136926964391214
mandi,0.031175118175588948
visakhapatnam,0.031153884134039207
shimla,0.031149788617359835
khunti,0.031147963321810093
uttar bastar kanker,0.030911936524713735
belagavi,0.030312931819510582
perambalur,0.030118694668088093
upper dibang valley,0.030113974943256926
senapati,0.030065598874993094
krishna,0.03004455757808324
ujjain,0.029981152338599736
salem,0.02975250288175356
mahisagar,0.02956181116489959
mahesana,0.029282409838793523
sri potti sriramulu nell,0.029156607490916836
east garo hills,0.029056828886774393
west district,0.029033008434831833
burhanpur,0.02902134185959081
bikaner,0.028994307190752133
aravalli,0.02892476498394809
amravati,0.028801037233879938
shi yomi,0.028768979562678768
punch,0.028716015511582305
gumla,0.028659365436207448
nuh,0.028359677027666425
ukhrul,0.02835953059592705
mandla,0.02817511266841781
jamtara,0.02796415981959325
sagar,0.02771336792794394
erode,0.027699527017057447
sambalpur,0.02768433105166225
tuensang,0.027517051691356927
almora,0.027456405921806724
wardha,0.027287340043480792
kodagu,0.02713739542403659
zunheboto,0.027115775469871605
longding,0.027047612405364553
vidisha,0.02690136049889919
dewas,0.02673544969750409
chandel,0.02670701459259424
samba,0.026670344215768936
tirap,0.026666781932448674
south east,0.026640051853481284
mahasamund,0.026566018099664874
west siang,0.026279804713162876
pudukkottai,0.025979433041171868
west tripura,0.025929402196885963
jabalpur,0.025821224744002128
akola,0.02563022720960401
sipahijala,0.025320027762323245
raipur,0.025080597771376573
ratlam,0.024917576361570794
peren,0.02482807304064436
gajapati,0.024533437098614604
ratnagiri,0.024353009827588597
betul,0.024256360984915827
narayanpur,0.024234744163433325
bageshwar,0.024162710288714848
jashpur,0.02408055272721247
banas kantha,0.024036293850404115
kabeerdham,0.023904916597711563
kalaburagi,0.023825006439556932
mahendragarh,0.0237771004853335
kurung kumey,0.02353635857776261
tiruppur,0.023337436330350472
ballari,0.02322504694353278
garhwa,0.023178327556300646
yadadri bhuvanagiri,0.023116889810751547
latehar,0.023081573768764647
kandhamal,0.022932919899171126
tehri garhwal,0.022904189687104524
kinnaur,0.022842880720205665
tengnoupal,0.02282319236112716
kangpokpi,0.022627231641668577
katni,0.022452487945673807
anuppur,0.022329838642717693
kupwara,0.022011630916000967
shajapur,0.021738587707665423
gariaband,0.021409584333771884
chittoor,0.021358341183698053
koppal,0.021195246494522264
dausa,0.021115844508266868
chikkamagaluru,0.020592518553852825
jaisalmer,0.02046777073463407
anantapur,0.020431170716164026
kamjong,0.020385753678174474
koriya,0.0202679385276273
fatehgarh sahib,0.020158240199730827
udhampur,0.02007780696826839
rajgarh,0.020016444026096994
ranchi,0.019686063118581256
wayanad,0.019481093693301952
guna,0.019363830826210075
sangli,0.01883416991047577
ramban,0.018813406406301896
giridih,0.018748690181532204
ramgarh,0.018583606281312354
vellore,0.018540292797277546
nabarangapur,0.018440025579334624
karauli,0.018436319065619433
raigarh,0.018365044083232803
durg,0.018235332465117157
muzaffarabad,0.018195261773122744
sikar,0.01781632195875331
seoni,0.017769182030064414
mahabubnagar,0.017644903054879646
pithoragarh,0.017635326571525396
jamui,0.017494286475042534
tenkasi,0.01724698959870717
nagpur,0.01685981231107784
kalahandi,0.01685087235493759
pali,0.016580362259059078
namakkal,0.01649061209121958
panch mahals,0.016439217810382645
dindigul,0.016058905119081184
siddipet,0.016006271269651998
mysuru,0.015999140860981975
uttarkashi,0.015568601278738044
jodhpur,0.014895326894860563
alwar,0.014498193772961538
chatra,0.014375855198241042
mirpur,0.014279452990813601
davanagere,0.014276920471026225
jhunjhunun,0.014272638813740315
dhalai,0.01425900322055719
dhar,0.013883056303299699
sabar kantha,0.013830920211717163
puri,0.01362320892726014
kohima,0.013615463073482567
garhwal,0.01348079917119483
coimbatore,0.01341280789622186
nagaur,0.013273360641781686
korba,0.013138955270466011
godda,0.01308063505199148
puruliya,0.01303684396087844
rajkot,0.013025884567541503
anantnag,0.012818661134881108
jaipur,0.012654296608626905
saraikelakharsawan,0.012581449633469523
kurnool,0.01223895299177817
kargil,0.012121782581153134
rajouri,0.012018853218101654
dharwad,0.011985533837863107
panchkula,0.011941287407117598
kishtwar,0.011936212165158
solan,0.011881635798587187
srinagar,0.011808219606555679
jhabua,0.011797424001712421
barwani,0.011686640919005392
bid,0.01161332607348561
tikamgarh,0.011608124000218937
anugul,0.011526483542994225
doda,0.011452501055103335
indore,0.011147593428209068
sirohi,0.010695845373877836
rajnandgaon,0.010517828829024236
mahabubabad,0.010484412801297692
gir somnath,0.01045693121720242
dharmapuri,0.010366702595613748
mahe,0.01032486422402718
chhindwara,0.010314044954731101
mahoba,0.010083301045642803
thiruvananthapuram,0.009978428318778756
medchal malkajgiri,0.009763238728561748
dumka,0.009643118685709886
dhule,0.009638810061954481
ashoknagar,0.009303784105984638
kullu,0.009161442422263046
latur,0.008849648016262238
chamba,0.00882386747875601
dhanbad,0.008800278633649563
ajmer,0.00861725563885038
surguja,0.008474025162307698
agar malwa,0.008381892293103965
dungarpur,0.008372603381535075
morbi,0.0081286598724651
chitradurga,0.007912955760316798
koraput,0.00784568724599324
chikkaballapura,0.007682275563216865
karaikal,0.0075825658780890775
rajsamand,0.007002595520995486
jharsuguda,0.006938978444442356
shivpuri,0.006803231988688516
gwalior,0.006651488024158935
kolar,0.006430167266317339
buldana,0.006055110073218972
thiruvallur,0.0057960410841096975
alirajpur,0.0056622234717617756
warangal urban,0.005634908300840102
dohad,0.005491588839181444
bengaluru rural,0.005102983302340499
jangoan,0.004985511307526013
bangalore,0.004850026854095093
chota udaipur,0.00476179201557357
gondiya,0.004623411354852251
sahibzada ajit singh nag,0.004328530682586786
khammam,0.0042932216679687045
east,0.004233354708684263
north west,0.004233354708684263
shahdara,0.004233354708684263
tapi,0.004223015459478602
amreli,0.004060717656993177
nicobars,0.00383594806973751
ranga reddy,0.0035994901054640714
vikarabad,0.003581815129885014
jagatsinghapur,0.003304606935519328
kangra,0.0032809053985105347
hazaribagh,0.00326187223574029
shivamogga,0.0030975710404725276
malkangiri,0.0030929562181710433
the nilgiris,0.003052488268170771
sonbhadra,0.002749912373050048
north  district,0.0026944251155465696
jalna,0.0025837564604173162
tumakuru,0.0023625799753041916
hassan,0.002040874650927149
neemuch,0.001989898710202527
dhamtari,0.001987021129672846
ysr,0.001945462625166069
kathua,0.0019311684489909141
nizamabad,0.0018987178801392304
warangal rural,0.0017674862548486552
bargarh,0.001528183137542604
mandsaur,0.001514165738098303
chittaurgarh,0.0014067608301152564
theni,0.0013446054886094886
tonk,0.0010984718958145226
debagarh,0.0010891746868704043
balod,0.0010550817033923925
devbhumi dwarka,0.0010318234409551455
kulgam,0.0009732982857791687
bokaro,0.0009326205730530809
bhavnagar,0.0008174632919262094
leh,0.0007736472240203854
una,0.0007728165128259003
thoothukkudi,0.0007313194766294937
banswara,0.0007149003680583148
new delhi,0.0006011033061328906
karimnagar,0.0005428035347616039
pune,0.0005106678851666992
lahul  spiti,0.0005026155365082166
vijayapura,0.00048425848281849617
east nimar,0.0004712064152484163
nalgonda,0.0004585849645193038
nashik,0.0004010847891853934
lalitpur,0.00037351231496452657
udupi,0.0003210831059019608
tirunelveli,0.0003133739976432584
kollam,0.0003040176064003128
south,0.0002856495883218968
satna,0.0002805733303571664
