district,state,drought_risk,flood_frequency,flooded_area
& parts of himachal pradesh,himachal pradesh,,2.0,0.0
& parts of uttar pradesh,uttar pradesh,,1.0,0.0
& various parts of nagaland,nagaland,,1.0,0.0
11 districts,odisha,,1.0,0.0
14 districts,odisha,,1.0,0.0
14 districts of assam,assam,,1.0,0.0
19 districts of orissa,odisha,,1.0,0.0
21 districts of assam,assam,,1.0,0.0
24 parganas,west bengal,0.6184505565057321,0.0,0.0
26 districts of rajasthan,rajasthan,,1.0,0.0
29 districts affected,uttar pradesh,,1.0,0.0
3 out of 8 districts,manipur,,1.0,0.0
6 districts,arunachal pradesh,,1.0,0.0
adilabad,andhra pradesh,,19.0,0.988714607
adilabad,"andhra pradesh, telangana",,1.0,0.988714607
adilabad,"maharashtra, telangana",,1.0,0.988714607
adilabad,telangana,0.7467245484953279,4.0,0.988714607
adjoining areas,himachal pradesh,,1.0,0.0
agar-malwa,"andhra pradesh, madhya pradesh",,1.0,0.0
agar-malwa,madhya pradesh,,6.0,0.0
agar-malwa,"madhya pradesh,  chhattisgarh",,1.0,0.0
agar-malwa,"madhya pradesh, punjab, haryana, west bengal",,1.0,0.0
agar-malwa,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,0.0
agar-malwa,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.0
agra,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,4.031426704
agra,"himachal pradesh, uttar pradesh",,1.0,4.031426704
agra,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,4.031426704
agra,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,4.031426704
agra,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,4.031426704
agra,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,4.031426704
agra,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,4.031426704
agra,"rajasthan, punjab, uttar pradesh",,1.0,4.031426704
agra,uttar pradesh,0.5634780561493706,24.0,4.031426704
agra,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,4.031426704
agra,"uttar pradesh , uttarakhand",,1.0,4.031426704
agra,"uttar pradesh, bihar,  assam",,1.0,4.031426704
agra,"uttar pradesh, bihar, odisha, west bengal",,1.0,4.031426704
agra,"uttar pradesh, east rajasthan",,1.0,4.031426704
agra,"uttar pradesh, uttarakhand",,1.0,4.031426704
agra,"uttar pradesh, west bengal, bihar",,1.0,4.031426704
ahmedabad,gujarat,0.702409900710256,51.0,0.0
ahmedabad,maharashtra,,1.0,0.0
ahmedabad,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.0
ahmednagar,"bihar, maharashtra",,1.0,0.0
ahmednagar,maharashtra,0.7716388916473853,40.0,0.0
ahmednagar,"maharashtra, telangana",,1.0,0.0
ahmednagar,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.0
aizawl,mizoram,,19.0,2.065788746
ajmer,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,0.203556192
ajmer,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,0.203556192
ajmer,"odisha, rajasthan",,1.0,0.203556192
ajmer,rajasthan,0.7264742607654696,36.0,0.203556192
ajmer,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.203556192
ajmer,"rajasthan, punjab, uttar pradesh",,1.0,0.203556192
akharpur,uttar pradesh,,1.0,0.0
akola,"bihar, maharashtra",,1.0,0.605435381
akola,maharashtra,0.8324195718034609,65.0,0.605435381
akola,"maharashtra, telangana",,1.0,0.605435381
akola,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.605435381
alappuzha,"karnataka, kerala",,1.0,12.40641849
