district,flood_risk,drought_risk
24 parganas,0.5,0.4942
adilabad,0.075,0.6571
agar malwa,0.0042,0.5
agarmalwa,0.0238,0.5
agra,0.1697,0.4266
ahmadabad,0.0868,0.5
ahmadnagar,0.0001,0.5
ahmedabad,0.1147,0.6036
ahmednagar,0.0931,0.6982
aizawl,0.0849,0.5
ajmer,0.0931,0.6425
akharpur,0.0022,0.5
akola,0.16,0.7814
alappuzha,0.5072,0.7074
aligarh,0.1057,0.4447
alipurduar,0.0855,0.5
alirajpur,0.0331,0.5
allahabad,0.5,0.5468
almora,0.057,0.5
almorah,0.5,0.7474
alwar,0.0895,0.4868
amarawati,0.5,0.7774
ambala,0.1614,0.2663
ambedkar nagar,0.1426,0.5
amethi,0.1322,0.5
amravati,0.1876,0.5
amreli,0.0864,0.5904
amritsar,0.1602,0.1994
amroha,0.1421,0.5
anand,0.149,0.5
anantapur,0.0102,0.5
ananthapur,0.5,0.6458
ananthapuramu,0.0043,0.5
ananthapuramuamu,0.0346,0.5
anantnag,0.0843,0.5
andhra pradesh,0.0022,0.5
anjaw,0.074,0.5
anugul,0.0599,0.5
anuppur,0.0328,0.5
araria,0.2285,0.5
aravalli,0.0145,0.5
ariyalur,0.0803,0.5
arvalli,0.0325,0.5
arwal,0.5302,0.5
ashoknagar,0.0328,0.5
auraiya,0.2038,0.5
aurangabad,0.2241,0.7912
ayodhya,0.1234,0.5
azamgarh,0.2398,0.5404
badgam,0.0806,0.5
bagalkote,0.0065,0.5
bagalkotee,0.0433,0.5
bagalkotee ballari,0.0022,0.5
bagalkotee belagavi,0.0108,0.5
bagalkotee bengaluru urban,0.0065,0.5
bagalkotee udupi,0.0022,0.5
bagalkoteebijapur,0.0022,0.5
bageshwar,0.0381,0.5
baghpat,0.1517,0.5
bahraich,0.2337,0.5739
baksa,0.3799,0.5
balaghat,0.0768,0.74
balangir,0.0665,0.5
balasore,0.5,0.6307
baleshwar,0.3003,0.5
ballari,0.1372,0.5
ballia,0.4222,0.5473
balod,0.0027,0.5
baloda bazar,0.0699,0.5
balodabazarbhatapara,0.0022,0.5
balrampur,0.1332,0.5
bametara,0.0505,0.5
banas kantha,0.0618,0.5
banaskantha,0.5,0.6464
banda,0.2072,0.7037
bandipora,0.039,0.5
bandipore,0.041,0.5
bangalore,0.0024,0.6308
banka,0.1114,0.5
bankura,0.0751,0.4861
banswara,0.061,0.6945
bara banki,0.2143,0.5
barabanki,0.5,0.4664
baramula,0.0193,0.5
baramulla,0.0671,0.5
baran,0.1098,0.5
bareilly,0.1813,0.4905
bargarh,0.07,0.5
barmer,0.0704,0.7917
barnala,0.0851,0.5
barpeta,0.5791,0.5
barwani,0.0405,0.5
bastar,0.0562,0.6959
basti,0.2193,0.5495
bathinda,0.1769,0.5
baudh,0.0362,0.5
beed,0.1299,0.8187
beedar,0.0779,0.5
begusarai,0.5485,0.5
belagavi,0.1558,0.5
belgaum,0.5,0.7042
bellary,0.5,0.5099
bemetara,0.0043,0.5
bengaluru rural,0.1909,0.5
bengaluru urban,0.1147,0.5
betul,0.0619,0.6971
bhadohi,0.2828,0.5
bhadradri bhadradri kothagudem,0.0022,0.5
bhadradri bhadradri kothagudem bhadradri kothagudem,0.0087,0.5
bhadradri bhadradri kothagudem kothagudem,0.0022,0.5
bhadradri kothagudem,0.0287,0.5
bhadrak,0.2472,0.5
bhagalpur,0.4075,0.609
bhandara,0.1641,0.7463
bhandara chandrapur,0.0022,0.5
bharatpur,0.1144,0.4799
bharuch,0.1468,0.7458
bhatinda,0.5,0.0979
bhavnagar,0.0848,0.5992
bhilwara,0.07,0.6132
bhind,0.0916,0.4974
bhiwani,0.0896,0.5
bhojpur,0.2222,0.5
bhopal,0.0952,0.5
bhubaneshwar,0.0022,0.5
bid,0.0058,0.5
bidar,0.0162,0.7683
bijapur,0.1192,0.5
